CITY_ENG,JCODE,mean
,,13.705827599329664
,,5.639754106598638
,,3.000519069602446
,,0.16275861859321594
,,8.17439009271017
Aomori-shi,02201,1.9242761626019524
Hirosaki-shi,02202,1.781187854281764
Hachinohe-shi,02203,6.233525435375236
Kuroishi-shi,02204,1.1180838753531233
Goshogawara-shi,02205,0.8304837911454405
Towada-shi,02206,0.9118993321458173
Misawa-shi,02207,4.1200117012422135
Mutsu-shi,02208,0.620305996128697
Tsugaru-shi,02209,0.8182327832200585
Hirakawa-shi,02210,0.8825678720488582
Hiranai-machi,02301,0.5696936782437615
Imabetsu-machi,02303,0.4432711572021418
Yomogita-mura,02304,0.4482623885870111
Sotogahama-machi,02307,0.5055089898854469
Ajigasawa-machi,02321,0.5171110485013273
Fukaura-machi,02323,0.3542666830147438
Nishimeya-mura,02343,0.3790546229472704
Fujisaki-machi,02361,2.4803820108053163
Owani-machi,02362,0.716130072601043
Inakadate-mura,02367,2.7271863073971687
Itayanagi-machi,02381,1.6986408582891188
Tsuruta-machi,02384,1.430646455087165
Nakadomari-machi,02387,0.4770234272948811
Noheji-machi,02401,1.0707271414979662
Shichinohe-machi,02402,0.6889384575428165
Rokunohe-machi,02405,1.439631860621512
Yokohama-machi,02406,0.6082283909971958
Tohoku-machi,02408,0.7656269558240835
Rokkasho-mura,02411,1.6316998125359914
Oirase-cho,02412,2.1757821013947503
Oma-machi,02423,0.892402276071136
Higashidori-mura,02424,0.6331320526492146
Kazamaura-mura,02425,0.5571246135724388
Sai-mura,02426,0.3581144032408013
Sannohe-machi,02441,0.7451263195683623
Gonohe-machi,02442,0.9211813776195004
Takko-machi,02443,0.466362979974734
Nanbu-cho,02445,0.863103494899423
Hashikami-cho,02446,0.952361691010274
Shingo-mura,02450,0.4273141847026169
Morioka-shi,03201,1.5190514910889659
Miyako-shi,03202,0.4008460419993677
Ofunato-shi,03203,0.7745860274897662
Hanamaki-shi,03205,0.6729606871186237
Kitakami-shi,03206,1.2497328904795164
Kuji-shi,03207,0.5154777763554812
Tono-shi,03208,0.4102314860473615
Ichinoseki-shi,03209,0.49954410786619724
Rikuzentakata-shi,03210,0.5788373759210355
Kamaishi-shi,03211,0.6519643910737812
Ninohe-shi,03213,0.605502786230765
Hachimantai-shi,03214,0.6006211845924843
Oshu-shi,03215,0.5963112081696369
Takizawa-shi,03216,1.3899038678587947
Shizukuishi-cho,03301,0.48439741836975403
Kuzumaki-machi,03302,0.374147628157062
Iwate-machi,03303,0.5009203761370223
Shiwa-cho,03321,0.6419841050551703
Yahaba-cho,03322,2.01685531961969
Nishiwaga-machi,03366,0.47099763238868764
Kanegasaki-cho,03381,0.835913872168208
Hiraizumi-cho,03402,0.6341154969699672
Sumita-cho,03441,0.3398946519430091
Otsuchi-cho,03461,0.4922981316224498
Yamada-machi,03482,0.44323930663118466
Iwaizumi-cho,03483,0.29522743745881697
Tanohata-mura,03484,0.4403348297385749
Fudai-mura,03485,0.44436447311749755
Karumai-machi,03501,0.5140967178161333
Noda-mura,03503,0.4760336563653764
Kunohe-mura,03506,0.613499636754325
Hirono-cho,03507,0.4452900433186039
Ichinohe-machi,03524,0.6123551369140712
"Sendai-shi, Aoba-ku",04101,4.004604326101501
"Sendai-shi, Miyagino-ku",04102,18.128835932317497
"Sendai-shi, Wakabayashi-ku",04103,11.470673806647905
"Sendai-shi, Taihaku-ku",04104,3.213913470374859
"Sendai-shi, Izumi-ku",04105,5.377563949646928
Ishinomaki-shi,04202,1.4245146289178607
Shiogama-shi,04203,7.846749714066088
Kesennuma-shi,04205,0.7779354541781122
